氢 (H₂)|最轻的气体，可燃的清洁能源
锕 (Ac)|放射性金属，人工合成元素的起始材料
钍 (Th)|弱放射性金属，潜在的新型核燃料
镤 (Pa)|稀有的放射性金属，核物理研究材料
铀 (U)|最重要的核燃料，具有强放射性
镎 (Np)|第一个人工合成的超铀元素，核研究材料
钚 (Pu)|重要的核燃料和核武材料，剧毒放射性
镅 (Am)|人工合成的放射性金属，烟雾探测器材料
锔 (Cm)|人工合成的放射性金属，高强度辐射源
水 (H₂O) | 最常见的溶剂，生命之源
过氧化氢 (H₂O₂)|强氧化剂，常用作漂白剂和消毒剂
三氧化二硼 (B₂O₃)|硼酐，玻璃状固体，用于制造硼硅玻璃和陶瓷
一氧化碳 (CO)|有毒可燃气体，重要的C1化工原料和燃料
二氧化碳 (CO₂)|主要温室气体，碳酸饮料、干冰和灭火剂成分
二氧化三碳 (C₃O₂)|不稳定氧化物，有特殊气味
一氧化二氮 (N₂O)|笑气，曾用作吸入性麻醉剂
一氧化氮 (NO)|无色气体，重要的生物信使分子和空气污染物
三氧化二氮 (N₂O₃)|亚硝酸酐，深蓝色液体，不稳定
二氧化氮 (NO₂)|红棕色刺激性气体，主要的光化学烟雾污染物
四氧化二氮 (N₂O₄)|二氧化氮的二聚体，液体火箭推进剂的重要氧化剂
五氧化二氮 (N₂O₅)|硝酸酐，白色固体，强氧化剂
二氟化氧 (OF₂)|极强的氧化剂和氟化剂，剧毒无色气体
一氧化硅 (SiO)|黑色至棕色固体，高温下稳定，可作半导体材料
二氧化硅 (SiO₂)|最常见和最稳定的形态，石英、水晶、沙子的主要成分
三氧化二磷(P₂O₃)|白色吸湿性蜡状固体，有毒，亚磷酸酐
四氧化二磷(P₂O₄)|不常见氧化物，化学性质介于三氧化物和五氧化物之间
五氧化二磷(P₂O₅)|白色粉末状固体，极强的干燥剂和脱水剂，磷酸酐
十氧化四磷(P₄O₁₀)|五氧化二磷的实际分子形式
一氧化硫(SO)|不稳定自由基，仅在高温或放电条件下存在
二氧化硫(SO₂)|无色刺激性气体，主要空气污染物，用于制酸和漂白
三氧化硫(SO₃)|无色易挥发固体或液体，硫酸酐，强氧化剂
七氧化二硫(S₂O₇)|焦硫酸酐，无色液体，由三氧化硫与硫酸反应生成
一氧化二氯(Cl₂O)|黄棕色气体，次氯酸酐，强氧化剂
二氧化氯(ClO₂)|黄绿色气体，高效消毒剂和漂白剂
六氧化二氯(Cl₂O₆)|深红色液体，氯酸和高氯酸的混合酸酐
七氧化二氯(Cl₂O₇)|无色油状液体，高氯酸酐，受撞击易爆炸
一氧化氯(ClO)|不稳定自由基，存在于大气平流层臭氧循环中
三氧化氯(ClO₃)|极不稳定的自由基
三氧化二砷(As₂O₃)|俗称砒霜，白色粉末，剧毒，用于杀虫剂和玻璃工业
五氧化二砷(As₂O₅)|砷酸酐，白色吸湿性固体，毒性较三氧化二砷低
二氧化硒(SeO₂)|白色至黄色固体，易升华，强氧化剂和试剂
三氧化硒(SeO₃)|白色固体，硒酸酐，强氧化剂，易潮解
二氧化溴(BrO₂)|黄色固体，不稳定，强氧化剂
七氧化二溴(Br₂O₇)|高溴酸酐，极不稳定，强爆炸物
二氧化碲(TeO₂)|白色固体，两性氧化物，用于光学玻璃和催化剂
三氧化碲(TeO₃)|橙黄色固体，碲酸酐，强氧化剂
五氧化二碘(I₂O₅)|白色固体，碘酸酐，强氧化剂，用于测定一氧化碳
七氧化二碘(I₂O₇)|高碘酸酐，不稳定，研究级化合物
九氧化四碘(I₄O₉)|黄棕色固体，碘与碘酸盐的混合氧化物
二氧化碘(IO₂)|黄色固体，不稳定，强氧化剂
四氧化碘(IO₄)|不稳定氧化物，易分解为碘和氧气
氧化锂(Li₂O)|白色固体，标准氧化物
过氧化锂(Li₂O₂)|黄色固体，用作氧化剂
超氧化锂(LiO₂)|不稳定，研究级化合物
臭氧化锂(LiO₃)|不稳定，需低温保存
氧化铍(BeO)|白色固体，高导热耐火材料，有毒
氧化钠(Na₂O)|白色固体，强碱性
过氧化钠(Na₂O₂)|淡黄色固体，强氧化剂
超氧化钠(NaO₂)|橙黄色固体，强氧化剂
臭氧化钠(NaO₃)|不稳定，需低温保存
氧化镁(MgO)|白色粉末，耐火材料
过氧化镁(MgO₂)|白色粉末，缓释消毒剂
氧化铝(Al₂O₃)|刚玉，硬度高，用于耐火材料和催化剂
氧化钾(K₂O)|灰色固体，强碱性
过氧化钾(K₂O₂)|白色固体，强氧化剂
超氧化钾(KO₂)|橙黄色固体，用于呼吸面罩供氧
臭氧化钾(KO₃)|深棕色固体，强氧化剂，不稳定
氧化钙(CaO)|生石灰，白色固体，建筑材料
过氧化钙(CaO₂)|淡黄色固体，用于水产养殖供氧
三氧化二钪(Sc₂O₃)|白色粉末，用于激光和高强度照明
一氧化钛(TiO)|黑色固体，非化学计量化合物
三氧化二钛(Ti₂O₃)|紫黑色固体，半导体材料
二氧化钛(TiO₂)|钛白粉，白色颜料，光催化剂
五氧化三钛(Ti₃O₅)|蓝黑色固体，Magnéli相氧化物
一氧化钒(VO)|灰色固体
三氧化二钒(V₂O₃)|黑色固体，金属性导电
二氧化钒(VO₂)|深蓝色固体，68°C发生金属-绝缘体相变
五氧化二钒(V₂O₅)|橙黄色固体，重要的工业催化剂
氧化亚铬(CrO)|黑色固体，不稳定
三氧化二铬(Cr₂O₃)|绿色固体，耐火颜料
四氧化三铬(Cr₃O₄)|黑色固体，混合价态
三氧化铬(CrO₃)|铬酸酐，暗红色固体，强氧化剂
氧化亚锰(MnO)|绿色固体
三氧化二锰(Mn₂O₃)|棕色固体
四氧化三锰(Mn₃O₄)|黑色固体，尖晶石结构
二氧化锰(MnO₂)|黑色固体，干电池正极材料
七氧化二锰(Mn₂O₇)|绿色油状液体，强氧化剂，极不稳定易爆
氧化亚铁(FeO)|黑色固体
三氧化二铁(Fe₂O₃)|红棕色固体，铁锈主要成分
四氧化三铁(Fe₃O₄)|黑色固体，磁性材料
氧化钴(CoO)|绿色固体
三氧化二钴(Co₂O₃)|黑色固体，不稳定
四氧化三钴(Co₃O₄)|黑色固体，催化剂
氧化亚镍(NiO)|绿色固体
三氧化二镍(Ni₂O₃)|黑色固体，不稳定
氧化亚铜(Cu₂O)|红色固体，半导体
氧化铜(CuO)|黑色固体，催化剂
氧化锌(ZnO)|白色粉末，紫外线吸收剂
过氧化锌(ZnO₂)|白色粉末
氧化镓(Ga₂O₃)|白色固体，宽禁带半导体材料
二氧化锗(GeO₂)|白色固体，用于光学玻璃和催化剂
氧化铷(Rb₂O)|黄色固体
过氧化铷(Rb₂O₂)|棕色固体
超氧化铷(RbO₂)|深棕色固体
臭氧化铷(RbO₃)|黑色固体，不稳定
氧化锶(SrO)|灰色固体
过氧化锶(SrO₂)|白色固体
三氧化二钇(Y₂O₃)|白色固体，用于荧光粉和耐火材料
一氧化锆(ZrO)|不稳定
二氧化锆(ZrO₂)|白色固体，高熔点，耐火材料
一氧化铌(NbO)|灰色固体，超导性
二氧化铌(NbO₂)|黑色固体
五氧化二铌(Nb₂O₅)|白色固体，酸性催化剂
二氧化钼(MoO₂)|紫色固体
三氧化钼(MoO₃)|白色或淡黄色固体
二氧化锝(TcO₂)|黑色固体，放射性
七氧化二锝(Tc₂O₇)|黄色固体，放射性
二氧化钌(RuO₂)|黑色固体，优异电极材料
四氧化钌(RuO₄)|金黄色晶体，剧毒，强氧化剂
三氧化二铑(Rh₂O₃)|灰色固体
二氧化铑(RhO₂)|黑色固体，不稳定
一氧化钯(PdO)|研究级，不稳定
氧化钯(PdO₂)|黑色固体，催化剂
氧化银(Ag₂O)|棕黑色固体
二氧化银(AgO)|灰色固体，强氧化剂
氧化镉(CdO)|棕色固体
三氧化二铟(In₂O₃)|黄色固体，透明导电膜(ITO)材料
一氧化锡(SnO)|蓝黑色固体
二氧化锡(SnO₂)|白色固体，气体传感器
三氧化二锑(Sb₂O₃)|白色固体，阻燃剂
五氧化二锑(Sb₂O₅)|黄色固体
二氧化碲(TeO₂)|白色固体，声光晶体
三氧化碲(TeO₃)|橙黄色固体
氧化铯(Cs₂O)|橙黄色固体
过氧化铯(Cs₂O₂)|黄色固体
超氧化铯(CsO₂)|黄色固体
臭氧化铯(CsO₃)|深色固体，不稳定
氧化钡(BaO)|白色固体
过氧化钡(BaO₂)|灰白色固体
三氧化二镧(La₂O₃)|白色固体
二氧化铈(CeO₂)|淡黄色固体，尾气催化剂
氧化亚铈(Ce₂O₃)|灰色固体
三氧化二镨(Pr₂O₃)|黑绿色固体
二氧化镨(PrO₂)|黑色固体
三氧化二钕(Nd₂O₃)|淡蓝色固体
三氧化二钐(Sm₂O₃)|淡黄色固体
三氧化二铕(Eu₂O₃)|淡粉红色固体
三氧化二钆(Gd₂O₃)|白色固体
三氧化二铽(Tb₂O₃)|白色固体
三氧化二镝(Dy₂O₃)|淡黄色固体
三氧化二钬(Ho₂O₃)|淡黄色固体
三氧化二铒(Er₂O₃)|淡粉红色固体
三氧化二铥(Tm₂O₃)|淡绿色固体
三氧化二镱(Yb₂O₃)|白色固体
三氧化二镥(Lu₂O₃)|白色固体
一氧化铪(HfO)|不稳定
二氧化铪(HfO₂)|白色固体，高介电常数
一氧化钽(TaO)|灰色固体
二氧化钽(TaO₂)|黑色固体
五氧化二钽(Ta₂O₅)|白色固体，用于电容器
二氧化钨(WO₂)|棕色固体
三氧化钨(WO₃)|黄色固体
蓝色氧化钨(W₂₀O₅₈)|非化学计量化合物
二氧化铼(ReO₂)|黑色固体
七氧化二铼(Re₂O₇)|黄色固体，易挥发，强氧化剂
二氧化锇(OsO₂)|棕色固体
四氧化锇(OsO₄)|无色或淡黄色晶体，剧毒，强氧化剂，用于生物染色
二氧化铱(IrO₂)|蓝黑色固体，电极材料
三氧化二铱(Ir₂O₃)|黑色固体
氧化铂(PtO₂)|黑色固体，催化剂
二氧化铂(PtO₂)|通常指此形态
氧化亚金(Au₂O)|紫色固体，不稳定
三氧化二金(Au₂O₃)|棕色固体，不稳定
氧化亚汞(Hg₂O)|黑色固体，不稳定
氧化汞(HgO)|红色或黄色固体
氧化亚铊(Tl₂O)|黑色固体
氧化铊(Tl₂O₃)|黑色固体
氧化铅(PbO)|黄色或红色固体
二氧化铅(PbO₂)|棕色固体，强氧化剂
四氧化三铅(Pb₃O₄)|红铅，红色颜料
三氧化二铋(Bi₂O₃)|黄色固体
五氧化二铋(Bi₂O₅)|红棕色固体
二氧化钋(PoO₂)|黄色固体，放射性
氧化镭(RaO)|白色固体，放射性
三氧化二锕(Ac₂O₃)|白色固体，放射性
二氧化钍(ThO₂)|白色固体，高熔点，核燃料
五氧化二镤(Pa₂O₅)|白色固体，放射性
二氧化铀(UO₂)|棕色固体，核反应堆燃料
三氧化铀(UO₃)|橙黄色固体
八氧化三铀(U₃O₈)|墨绿色固体，铀矿石主要成分
二氧化镎(NpO₂)|绿色固体，放射性
二氧化钚(PuO₂)|黄绿色固体，核燃料
三氧化二钚(Pu₂O₃)|黑色固体
三氧化二镅(Am₂O₃)|橙红色固体，放射性
二氧化镅(AmO₂)|棕黑色固体，放射性
二氧化锔(CmO₂)|黑色固体，强放射性
|左右不要空格
氢化锂(LiH)|白色晶体，高氢含量，用于储氢和有机合成
氢化钠(NaH)|灰色粉末，强碱，常用作有机合成中的强还原剂
氢化镁(MgH₂)|灰色固体，潜在的高容量储氢材料
氢化钙(CaH₂)|灰色固体，高效干燥剂和氢气发生剂
氢化铝(AlH₃)|白色固体，高能燃料和还原剂
氢化钾(KH)|无色晶体，强还原剂
硼氢化钠(NaBH₄)|白色晶体，重要的温和还原剂和供氢体
氢化铷(RbH)|无色晶体，强还原剂
氢化锶(SrH₂)|白色晶体，还原剂
氢化铯(CsH)|无色晶体，强还原剂
氢化钡(BaH₂)|灰色固体
氢化铍(BeH₂)|白色固体，潜在储氢材料
氢化铜(CuH)|红棕色固体，不稳定
氢化锌(ZnH₂)|无色固体，不稳定
氢化镉(CdH₂)|研究级化合物
氢化铟(InH₃)|不稳定
氢化锡(SnH₄)|甲锡烷，有毒气体，不稳定
氢化铅(PbH₄)|甲铅烷，极不稳定
氢化铋(BiH₃)|铋化氢，极不稳定
氢化锆(ZrH₂)|灰色固体，用于核反应堆减速剂
氢化钛(TiH₂)|灰色粉末，发泡剂和储氢材料
氢化钯(PdHₓ)|可逆吸氢，用于氢纯化和储存
氢化镧(LaH₂/LaH₃)|黑色/导电，研究储氢和超导材料
氢化钐(SmH₂/SmH₃)|研究级储氢材料
氢化铀(UH₃)|黑色粉末，用于制备铀化合物，自燃性
氢化铈(CeH₂/CeH₃)|储氢材料
氨(NH₃)|无色刺激性气体，最重要的基础化工产品之一
磷化氢(PH₃)|无色剧毒气体，半导体工业掺杂剂
砷化氢(AsH₃)|无色剧毒气体，半导体工业重要气体
锑化氢(SbH₃)|无色剧毒气体
硫化氢(H₂S)|无色剧毒气体，有臭鸡蛋味，分析试剂
硒化氢(H₂Se)|无色剧毒恶臭气体
碲化氢(H₂Te)|无色剧毒气体，极不稳定
氟化氢(HF)|无色腐蚀性气体或液体，刻蚀玻璃和制氟化合物
氯化氢(HCl)|无色刺激性气体，水溶液为盐酸
溴化氢(HBr)|无色刺激性气体
碘化氢(HI)|无色刺激性气体
甲烷(CH₄)|天然气主要成分，最简单的有机物
乙硼烷(B₂H₆)|无色剧毒气体，重要的硼氢化试剂
硅烷(SiH₄)|无色易燃气体，用于半导体沉积硅
碳化锂(Li₂C₂)|水解产生乙炔
碳化钠(Na₂C₂)|水解产生乙炔
碳化镁(MgC₂)|水解产生乙炔
碳化钙(CaC₂)|电石，灰色固体，与水反应制乙炔
碳化铝(Al₄C₃)|黄色固体，水解产生甲烷
碳化钾(K₂C₂)|水解产生乙炔
碳化铍(Be₂C)|红色固体，水解产生甲烷
碳化钛(TiC)|极硬的金属陶瓷材料，金黄色
碳化锆(ZrC)|高熔点硬质材料
碳化铪(HfC)|已知熔点最高的物质之一
碳化钒(VC)|极硬的金属陶瓷材料
碳化铌(NbC)|高硬度高熔点材料
碳化钽(TaC)|高硬度高熔点材料
碳化铬(Cr₃C₂)|耐磨耐腐蚀硬质合金
碳化钼(Mo₂C)|催化剂和耐磨涂层
碳化钨(WC)|极硬的硬质合金材料，用于切削工具
碳化锰(Mn₃C)|钢铁中的渗碳体成分之一
碳化铁(Fe₃C)|渗碳体，钢铁中关键硬化相
碳化钴(Co₂C)|催化剂
碳化镍(Ni₃C)|催化剂
碳化硅(SiC)|金刚砂，高硬度半导体，用于 abrasives 和电子器件
碳化硼(B₄C)|硬度仅次于金刚石和立方氮化硼，用于装甲和 abrasives
碳化铀(UC)|高密度核燃料
碳化钍(ThC)|核燃料
碳化镧(LaC₂)|水解产生乙炔和氢气
碳化铈(CeC₂)|水解产生乙炔和氢气
氮化锂(Li₃N)|红色固体，离子导体，快速锂离子传输材料
氮化钠(Na₃N)|极不稳定，室温下易分解
氮化镁(Mg₃N₂)|黄绿色粉末，与水反应生成氨和氢氧化镁
氮化铝(AlN)|白色至灰蓝色固体，高热导率电绝缘体，用于电子封装
氮化钾(K₃N)|极不稳定
氮化钙(Ca₃N₂)|红棕色固体，与水剧烈反应
氮化钪(ScN)|金黄色固体，硬质涂层和半导体材料
氮化钛(TiN)|金黄色极硬涂层，用于刀具和装饰镀层
氮化钒(VN)|黑色固体，高硬度耐磨材料
氮化铬(CrN)|银灰色硬质涂层，提高耐磨耐蚀性
氮化锰(Mn₃N₂)|黑色固体
氮化铁(Fe₂N/Fe₄N)|钢铁渗氮处理中的硬化相
氮化钴(Co₂N/Co₃N)|催化剂前驱体
氮化镍(Ni₃N)|催化剂和磁性材料
氮化铜(Cu₃N)|半导体材料，用于光学存储
氮化锌(Zn₃N₂)|半导体材料
氮化镓(GaN)|宽禁带半导体核心材料，用于蓝光LED和功率器件
氮化锡(Sn₃N₄)|半导体材料研究
氮化铷(Rb₃N)|极不稳定
氮化锶(Sr₃N₂)|黑色固体，与水剧烈反应
氮化钇(YN)|黄绿色固体，硬质涂层
氮化锆(ZrN)|金黄色硬质耐磨涂层
氮化铌(NbN)|超导材料（临界温度约16K）
氮化钼(Mo₂N)|催化剂和硬质涂层
氮化锝(TcN)|放射性材料
氮化钌(RuN)|催化剂研究
氮化铑(RhN)|催化剂研究
氮化钯(Pd₃N₂)|研究级化合物
氮化银(Ag₃N)|极不稳定，受冲击易爆炸
氮化镉(Cd₃N₂)|半导体材料研究
氮化铟(InN)|窄禁带半导体，用于高速电子和红外光电器件
氮化锑(SbN)|不稳定化合物
氮化铯(Cs₃N)|极不稳定
氮化钡(Ba₃N₂)|黑色固体，与水剧烈反应
氮化镧(LaN)|黑色固体，催化研究
氮化铈(CeN)|黄色固体，催化研究
氮化镨(PrN)|绿色固体
氮化钕(NdN)|黑色固体
氮化钐(SmN)|磁性材料研究
氮化铕(EuN)|磁性材料研究
氮化钆(GdN)|磁性材料研究
氮化铽(TbN)|磁性材料研究
氮化镝(DyN)|磁性材料研究
氮化钬(HoN)|磁性材料研究
氮化铒(ErN)|磁性材料研究
氮化铥(TmN)|磁性材料研究
氮化镱(YbN)|半导体研究
氮化镥(LuN)|研究级化合物
氮化铪(HfN)|极硬耐磨耐腐蚀涂层
氮化钽(TaN)|高硬度、高化学稳定性，用于扩散屏障层
氮化钨(WN₂/W₂N)|硬质涂层和扩散屏障
氮化铼(ReN₂)|研究级化合物
氮化锇(OsN₂)|研究级化合物
氮化铱(IrN)|研究级化合物
氮化铂(PtN₂)|理论研究
氮化金(AuN)|极不稳定
氮化汞(Hg₃N₂)|极不稳定
氮化铊(Tl₃N)|极不稳定
氮化铅(Pb₃N₂)|极不稳定
氮化铋(BiN)|不稳定化合物
氮化铀(UN)|核燃料候选材料
氮化钍(ThN)|核燃料候选材料
硫化锂(Li₂S)|白色至黄色固体，用于高性能锂电池正极材料
硫化钠(Na₂S)|黄色至砖红色固体，用于皮革脱毛、染料和选矿
硫化钾(K₂S)|棕色固体，强还原剂，用于有机合成
硫化铍(BeS)|灰色固体，有毒
硫化镁(MgS)|棕色固体，与水反应生成硫化氢
硫化钙(CaS)|白色至灰色固体，脱硫剂和发光材料基质
硫化锶(SrS)|灰色固体，用于夜光涂料
硫化钡(BaS)|黑色固体，脱硫剂
硫化铝(Al₂S₃)|黄色固体，遇水完全水解
硫化铊(Tl₂S)|黑色固体，有毒，用于红外探测材料
硫化铜(I)(Cu₂S)|黑色固体，重要的铜矿（辉铜矿）成分，半导体
硫化铜(II)(CuS)|靛蓝色固体，铜矿（铜蓝）成分
硫化银(Ag₂S)|灰黑色固体，银矿（辉银矿）成分，半导体
硫化锌(ZnS)|闪锌矿/纤锌矿，白色或淡黄色固体，重要的荧光粉基质和颜料
硫化镉(CdS)|镉黄，黄色固体，颜料和光敏半导体
硫化汞(HgS)|辰砂，红色固体（朱砂）或黑色固体，颜料和中药
硫化镓(Ga₂S₃)|黄色固体，半导体材料
硫化铟(In₂S₃)|黄色至红色固体，用于薄膜太阳能电池
硫化锡(SnS)|灰色固体，半导体
硫化锡(IV)(SnS₂)|金色鳞片状固体（金箔），俗称“摩西金”
硫化铅(PbS)|方铅矿，灰色金属光泽固体，最早的半导体探测器材料
硫化铋(Bi₂S₃)|辉铋矿，黑灰色固体，用于热电材料
硫化钪(Sc₂S₃)|黄色固体
硫化钇(Y₂S₃)|黄色固体，发光材料基质
硫化钛(TiS₂)|金黄色层状固体，曾作为锂离子电池正极材料研究
硫化锆(ZrS₂)|灰色固体
硫化铪(HfS₂)|灰色固体
硫化钒(VS₂/V₂S₃)|黑色固体，磁性材料研究
硫化铌(NbS₂)|黑色固体，超导材料研究
硫化钽(TaS₂)|黑色固体，超导和电荷密度波材料
硫化铬(Cr₂S₃)|黑色固体
硫化钼(MoS₂)|辉钼矿，灰黑色固体，优良固体润滑剂和半导体
硫化钨(WS₂)|灰黑色固体，固体润滑剂
硫化锰(MnS)|绿色固体，钢铁中的非金属夹杂物
硫化铁(II)(FeS)|磁黄铁矿，黑色固体
硫化铁(II,III)(Fe₃S₄)|硫铁矿（Greigite），黑色磁性矿物
硫化铁(II)(FeS₂)|黄铁矿（愚人金），金黄色立方晶体
硫化钴(CoS/Co₃S₄)|黑色固体，催化剂
硫化镍(NiS/Ni₃S₂)|黑色固体，催化剂和矿物
硫化钌(RuS₂)|黑色固体，催化剂
硫化铑(Rh₂S₃)|黑色固体，催化剂
硫化钯(PdS)|黑色固体，催化剂
硫化铂(PtS)|黑色固体，催化剂
硫化铷(Rb₂S)|黄色固体
硫化铯(Cs₂S)|黄色固体
硫化镧(La₂S₃)|黄色固体，红外光学材料
硫化铈(Ce₂S₃)|红色固体，无毒红色颜料
硫化镨(Pr₂S₃)|绿色固体
硫化钕(Nd₂S₃)|绿色固体
硫化钐(SmS)|黑色固体，具有压力诱导绝缘体-金属转变
硫化铕(EuS)|黑色固体，磁性半导体
硫化钆(Gd₂S₃)|白色固体
硫化铽(Tb₂S₃)|棕色固体
硫化镝(Dy₂S₃)|黄色固体
硫化钬(Ho₂S₃)|黄色固体
硫化铒(Er₂S₃)|粉红色固体
硫化铥(Tm₂S₃)|绿色固体
硫化镱(Yb₂S₃)|无色固体
硫化镥(Lu₂S₃)|白色固体
硫化锝(Tc₂S₇)|放射性
硫化铼(ReS₂/Re₂S₇)|黑色固体，催化剂和层状材料
硫化锇(OsS₂)|黑色固体
硫化铱(Ir₂S₃)|黑色固体
硫化金(Au₂S)|黑色固体，不稳定
硫化氢(H₂S)|无色剧毒气体，有臭鸡蛋气味
二硫化碳(CS₂)|无色易燃液体，优良非极性溶剂
二硫化硅(SiS₂)|白色针状晶体，遇水水解
五硫化二磷(P₂S₅)|黄色固体，用于制备有机硫代磷酸酯
二氧化硫(SO₂)|无色刺激性气体，大气污染物，用于制酸和漂白
三氧化硫(SO₃)|硫酸酐，无色液体或固体，强氧化剂
二硫化二砷(As₂S₂)|雄黄，红色或橙色固体，曾用作颜料和中药
三硫化二砷(As₂S₃)|雌黄，柠檬黄色固体，曾用作颜料
五硫化二锑(Sb₂S₅)|橙红色固体
