#国家元素出产数据
#格式：国家|元素符号1,元素符号2,...
印度尼西亚|Sn,Ni,Cu,Au,Ag,Co,Al,Fe,Zn,Pb,Mn,Sb,Se
菲律宾|Ni,Cu,Au,Cr,Co,Ag,Zn,Fe,Mn,Pb
伊朗|Zn,Cu,Pb,Au,Ag,Fe,Mn,Al,Mg,U,Sb,Se,Te
沙特阿拉伯|Au,Cu,Zn,Pb,Ag,Fe,Al,Mg,U,Ta
土耳其|B,Cr,Au,Ag,Cu,Zn,Pb,Fe,Al,Mg,Sb,Se,Te
波兰|Cu,Ag,Pb,Zn,S,Se,Ge,Ga,Mg,K,Na
瑞典|Fe,Cu,Zn,Pb,Au,Ag,Li,U,W,Mo,Sb
芬兰|Ni,Cu,Zn,Co,Cr,Fe,Au,Ag,Li,Ta,Sb
挪威|Ti,Fe,Cu,Ni,Zn,Pb,Ag,Au,Mg,Al,Si,P
摩洛哥|Co,Ag,Pb,Zn,Cu,Au,Fe,Mn,Sb,Ba,F
纳米比亚|U,Cu,Pb,Zn,Ag,Au,Li,Sn,W,Sb
津巴布韦|Pt,Pd,Cr,Au,Li,Ni,Cu,Zn,Pb,Ta
阿根廷|Li,Cu,Au,Ag,Zn,Pb,U,Fe,K,B,Sb,Se
英国|Sn,Zn,Pb,Fe,Cu,Ag,Au,Li,K,Na,Mg,Ca
法国|U,Fe,Zn,Pb,Sn,Cu,Au,Ag,Li,Na,K,Al
西班牙|Cu,Zn,Pb,Sn,Fe,Au,Ag,Hg,Sb,Se,Li
葡萄牙|Cu,Zn,Sn,Pb,Li,W,Au,Ag,U,Fe
意大利|Hg,Sb,Zn,Pb,Cu,Fe,Au,Ag,Al,Mg
乌克兰|Fe,Mn,Ti,Zr,Li,U,Cr,Ni,Zn,Pb,Cu
白俄罗斯|K,Na,Mg,Ca,Fe,Sr
希腊|B,Zn,Pb,Cu,Ag,Au,Ni,Cr,Fe,Mg
罗马尼亚|Au,Ag,Cu,Pb,Zn,U,Fe,Mn,Al,Mg
保加利亚|Cu,Pb,Zn,Fe,Au,Ag,Mn,Al,Sb
塞尔维亚|Cu,Zn,Pb,Au,Ag,Li,B,Al,Mg
匈牙利|B,Al,Mg,Ca,Na,K,Zn,Pb,Cu,Au
奥地利|Fe,Zn,Pb,Cu,Au,Ag,Li,Mg,Al,Ti
瑞士|Na,Mg,Al,Si,K,Ca,Fe
荷兰|Na,Mg,Ca,K
比利时|Zn,Pb,Cu,Fe,Cd,Ge,Ga,In
爱尔兰|Zn,Pb,Ag,Cu,Au,Sn,Ge,Ga
丹麦|Na,Mg,Ca,K
捷克|U,Li,Sn,W,Ag,Au,Cu,Zn,Pb,Fe
斯洛伐克|Fe,Mg,Ca,Na,K,Zn,Pb,Cu,Au
斯洛文尼亚|Hg,Pb,Zn,Al,Mg,Ca,Na,K
克罗地亚|B,Na,Mg,Al,Si,K,Ca,Fe
波斯尼亚和黑塞哥维那|Fe,B,Al,Mg,Zn,Pb,Cu
黑山|B,Al,Mg,Ca,Na,K,Zn,Pb
阿尔巴尼亚|Cr,Cu,Fe,Ni,Co
爱沙尼亚|P,Ca,Mg
拉脱维亚|Ca,Mg
立陶宛|Ca,Mg
冰岛|Fe,Si
埃及|Fe,Zn,Pb,Au,Cu
利比亚|Fe,Na,K
阿尔及利亚|Fe,Zn,Pb,Hg,U
突尼斯|Zn,Pb,Fe
苏丹|Au,Cr,Cu,Fe,Zn,Ag,Mn
埃塞俄比亚|Au,Ni,Cu,Zn
肯尼亚|Au,Cu,Ni
坦桑尼亚|Au,Ni,Co,Cu,Ge
乌干达|Co,Cu,Au,Fe
加纳|Au,Mn
科特迪瓦|Au,Mn,Fe,Ni
尼日利亚|Sn,Nb,Co,Pb,Zn
喀麦隆|Al,Fe,Co,Ni
安哥拉|Fe,Cu,Mn
纳米比亚|U,Cu,Pb,Zn,Ag,Au,Li,Sn,W,Sb
博茨瓦纳|Cu,Ni,Co,Au
马达加斯加|Cr,Ni,Co
毛里塔尼亚|Fe,Cu,Au
马里|Au,Fe,Cu,Zn,Mn,Li
尼日尔|U,Au,Co,Cu,Li
乍得|Au,Na,Ca,U
厄立特里亚|Cu,Zn,Au
索马里|U,Th,Fe,Ti,Sn
莫桑比克|Ti,Al,Ta
津巴布韦|Pt,Pd,Cr,Au,Li,Ni,Cu,Zn,Pb,Ta
赞比亚|Cu,Co,Zn,Pb,Ag,Au,Se,Ge,U
马拉维|U,Ni
科威特|Na,Mg,Ca,K
阿联酋|Na,Mg,Ca,K
卡塔尔|Na,Mg,Ca,K
阿曼|Cu,Cr,Au,Zn
也门|Zn,Pb,Cu,Co,Ni,Au
约旦|K
叙利亚|Fe,Zn,Pb
伊拉克|S
阿富汗|Li,Cu,Co,Au,Fe,Al,Cr
巴基斯坦|Cu,Au,Fe,Cr,Zn,Pb
斯里兰卡|Zr
尼泊尔|Fe,Cu,Co,Mg,Li
不丹|Ca,Mg
缅甸|Sn,W,Cu,Zn,Pb,Sb
泰国|Sn,W,Zn,Pb,Sb,Fe,Au
老挝|Cu,Au,Ag,Zn,Pb,Fe,K
柬埔寨|Fe,Au,Cu,Al
越南|Sn,W,Zn,Pb,Au,Fe,Al
马来西亚|Sn,Fe,Al
东帝汶|Mn,Cu,Au
巴布亚新几内亚|Au,Cu,Ni,Co
新西兰|Au,Ag,Fe
斐济|Au,Cu,Zn
所罗门群岛|Au,Zn,Al
瓦努阿图|Mn,Cu,Au
委内瑞拉|Fe,Al,Au
哥伦比亚|Ni,Fe,Au,Cu
厄瓜多尔|Au,Ag,Cu,Zn
圭亚那|Al,Au
苏里南|Al,Au
玻利维亚|Li,Ag,Sn,Zn,Sb,W,Fe
巴拉圭|Fe,Mn,Ca
乌拉圭|Ag,Au,Cu,Fe,Zn,Mn
哥斯达黎加|Au,Ag,Cu,Fe
巴拿马|Cu,Au,Ag,Fe
尼加拉瓜|Au,Ag,Cu
洪都拉斯|Ag,Au,Cu,Zn,Pb
危地马拉|Ni,Au,Ag,Cu
萨尔瓦多|Au,Ag,Cu
巴哈马|Na
古巴|Ni,Co,Fe,Cu,Cr,Mn
牙买加|Al,Ca
海地|Au,Cu,Ca
多米尼加|Au,Ag,Ni,Al
特立尼达和多巴哥|S
